length,period
0.038,0.4312
0.055,0.4866
0.102,0.6432
0.175,0.8606
0.309,1.152
0.551,1.49
0.736,1.684
0.668,1.674
0.869,1.892
1.117,2.13
2.374,3.0738
2.854,3.4012
5.009,4.524
